Colorcode;Colorname;Finish;num;aantal;omschrijving;pdf;code;beeld
NW09;Wenge;Satin;430838;171;WOOD DECORS;2018_meteon.pdf;NW09-430838;201940098_meteon_outline_44.pdf
NW04;Pacific Board;Satin;430833;171;WOOD DECORS;2018_meteon.pdf;NW04-430833;201940098_meteon_outline_45.pdf
NW03;Harmony Oak;Satin;430832;342;WOOD DECORS;2018_meteon.pdf;NW03-430832;201940098_meteon_outline_46.pdf
NW08;Italian Walnut;Satin;401440;21;WOOD DECORS;2018_meteon.pdf;NW08-401440;201940098_meteon_outline_47.pdf
NW23;Nordic Black;Satin;430251;21;WOOD DECORS;2018_meteon.pdf;NW23-430251;201940098_meteon_outline_48.pdf
NA12 ;Natural Chalkstone;Matt-Rock;430869;722;NATURALS;2018_meteon.pdf;NA12-430869;201940098_meteon_outline_49.pdf
NA17 ;Natural Graphite;Matt-Rock;431648;722;NATURALS;2018_meteon.pdf;NA17-431648;201940098_meteon_outline_50.pdf
NA16;Belgian Bluestone;Matt-Rock;431642;722;NATURALS;2018_meteon.pdf;NA16-431642;201940098_meteon_outline_51.pdf
NA12 ;Natural Chalkstone;Matt;430740;342;NATURALS;2018_meteon.pdf;NA12-430740;201940098_meteon_outline_52.pdf
NA13;Silver Quartzite;Matt;430741;342;NATURALS;2018_meteon.pdf;NA13-430741;201940098_meteon_outline_53.pdf
NM01;Rusted Brown;Matt;430903;342;NATURALS;2018_meteon.pdf;NM01-430903;201940098_meteon_outline_54.pdf
NM06;Tempered Grey;Matt, this decor has gloss elements in the surface ;430911;342;NATURALS;2018_meteon.pdf;NM06-430911;201940098_meteon_outline_55.pdf
NM08;Crafted White;Matt, this decor has gloss elements in the surface ;431573;171;NATURALS;2018_meteon.pdf;NM08-431573;201940098_meteon_outline_56.pdf
NM07;Casted Grey;Matt, this decor has gloss elements in the surface ;430910;342;NATURALS;2018_meteon.pdf;NM07-430910;201940098_meteon_outline_57.pdf
NM08;Crafted White;Matt, this decor has gloss elements in the surface ;431574;21;NATURALS;2018_meteon.pdf;NM08-431574;201940098_meteon_outline_58.pdf
M51.0.2;Urban Grey;Satin;404309;722;METALLICS;2018_meteon.pdf;M5102-404309;201940098_meteon_outline_59.pdf
M04.4.1;Titanium Silver;Satin;411854;722;METALLICS;2018_meteon.pdf;M0441-411854;201940098_meteon_outline_60.pdf
M04.4.1;Titanium Silver;Rock;412217;722;METALLICS;2018_meteon.pdf;M0441-412217;201940098_meteon_outline_61.pdf
M51.0.2;Urban Grey;Satin;431142;256;METALLICS;2018_meteon.pdf;M5102-431142;201940098_meteon_outline_62.pdf
M21.8.1;Graphite Grey;Satin;431143;256;METALLICS;2018_meteon.pdf;M2181-431143;201940098_meteon_outline_63.pdf
CM05.04 ;Santiago Blanco;Diffuse;431552;256;FOCUS;2018_meteon.pdf;CM0504-431552;201940098_meteon_outline_64.pdf
LM1055;Persian Copper;Diffuse;431490;722;LUMEN;2018_meteon.pdf;LM1055-431490;201940098_meteon_outline_65.pdf
LM0641;China Gold;Diffuse;431499;722;LUMEN;2018_meteon.pdf;LM0641-431499;201940098_meteon_outline_66.pdf
LM0561;Roman Bronze;Diffuse;431482;722;LUMEN;2018_meteon.pdf;LM0561-431482;201940098_meteon_outline_67.pdf
L9000;Metropolis Black;Diffuse;431009;1444;LUMEN;2018_meteon.pdf;L9000-431009;201940098_meteon_outline_68.pdf
L2151;London Grey;Diffuse;431193;722;LUMEN;2018_meteon.pdf;L2151-431193;201940098_meteon_outline_69.pdf
LM0641;China Gold;Specular;431503;256;LUMEN;2018_meteon.pdf;LM0641-431503;201940098_meteon_outline_70.pdf
LM0561;Roman Bronze;Diffuse;431579;256;LUMEN;2018_meteon.pdf;LM0561-431579;201940098_meteon_outline_71.pdf
L2151;London Grey;Specular;431429;256;LUMEN;2018_meteon.pdf;L2151-431429;201940098_meteon_outline_72.pdf
LM2181;Siberian Platinum;Oblique;431511;256;LUMEN;2018_meteon.pdf;LM2181-431511;201940098_meteon_outline_73.pdf
LM1055;Persian Copper;Specular;431495;256;LUMEN;2018_meteon.pdf;LM1055-431495;201940098_meteon_outline_74.pdf
L2151;London Grey;Oblique;431216;18;LUMEN;2018_meteon.pdf;L2151-431216;201940098_meteon_outline_75.pdf
PU02;Classic Oak;Matt | Flush | Brown core;431169;1560;WOOD DECORS;2018_Pura.pdf;PU02-431169;201940098_meteon_outline_76.pdf
S17-32;Speckle Powder Blue;Crystal Matt;430803;270;;2018_toplab_BASE.pdf;S1732-430803;201940098_toplaB_outline_1.pdf
E0-00;White;Crystal Matt;430783;540;;2018_toplab_BASE.pdf;E000-430783;201940098_toplaB_outline_2.pdf
E25-01;Icey Blue;Crystal Matt;430795;270;;2018_toplab_BASE.pdf;E2501-430795;201940098_toplaB_outline_3.pdf
