zaak;Colorcode;aantal;beeld
310 - Gebrüder Conzelmann;Alisa 4251530209678;215;2019layout_34.pdf
310 - Gebrüder Conzelmann;Alisa 4251530210087;110;2019layout_35.pdf
310 - Gebrüder Conzelmann;Alisa 4251530210094;55;2019layout_36.pdf
310 - Gebrüder Conzelmann;Alisa 4251530209685;130;2019layout_37.pdf
310 - Gebrüder Conzelmann;Alisa 4251530210100;35;2019layout_38.pdf
310 - Gebrüder Conzelmann;Alisa 4251530209692;65;2019layout_39.pdf
310 - Gebrüder Conzelmann;Alisa 4251530210124;35;2019layout_40.pdf
310 - Gebrüder Conzelmann;Edith 4251530209708;165;2019layout_41.pdf
310 - Gebrüder Conzelmann;Edith 4251530209715;270;2019layout_42.pdf
310 - Gebrüder Conzelmann;Edith 4251530209722;110;2019layout_43.pdf
310 - Gebrüder Conzelmann;Edith 4251530209739;65;2019layout_44.pdf
310 - Gebrüder Conzelmann;Emma 4251530209760;110;2019layout_45.pdf
310 - Gebrüder Conzelmann;Hannah 4251530200323;270;2019layout_46.pdf
310 - Gebrüder Conzelmann;Helena 4251530200408;430;2019layout_47.pdf
310 - Gebrüder Conzelmann;Helena 4251530200415;375;2019layout_48.pdf
310 - Gebrüder Conzelmann;Helena 4251530200422;375;2019layout_49.pdf
310 - Gebrüder Conzelmann;Amelie 4057987157568;430;2019layout_50.pdf
310 - Gebrüder Conzelmann;Amelie 4057987112192;270;2019layout_51.pdf
310 - Gebrüder Conzelmann;Clara 4057987157391;165;2019layout_52.pdf
310 - Gebrüder Conzelmann;Clara 4057987157414;325;2019layout_53.pdf
310 - Gebrüder Conzelmann;Clara 4057987157421;215;2019layout_54.pdf
310 - Gebrüder Conzelmann;Clara 4057987111508;165;2019layout_55.pdf
310 - Gebrüder Conzelmann;Edith 4057987029841;215;2019layout_56.pdf
310 - Gebrüder Conzelmann;Edith 4057987029858;270;2019layout_57.pdf
SUSA;Elisabeth 4009823936431;20;2019layout_58.pdf
SUSA;Elisabeth 4009823936448;25;2019layout_59.pdf
SUSA;Elisabeth 4009823936455;35;2019layout_60.pdf
SUSA;Elisabeth 4009823936462;25;2019layout_61.pdf
SUSA;Elisabeth 4009823936479;25;2019layout_62.pdf
SUSA;Elisabeth 4009823936486;35;2019layout_63.pdf
SUSA;Elisabeth 4009823936493;35;2019layout_64.pdf
SUSA;Elisabeth 4009823936509;20;2019layout_65.pdf
SUSA;Elisabeth 4009823936516;35;2019layout_66.pdf
SUSA;Elisabeth 4009823936523;35;2019layout_67.pdf
SUSA;Elisabeth 4009823936530;35;2019layout_68.pdf
SUSA;Elisabeth 4009823936547;20;2019layout_69.pdf
SUSA;Elisabeth 4009823936554;35;2019layout_70.pdf
SUSA;Elisabeth 4009823936561;35;2019layout_71.pdf
SUSA;Elisabeth 4009823936578;35;2019layout_72.pdf
SUSA;Elisabeth 4009823936585;20;2019layout_73.pdf
SUSA;Elisabeth 4009823936271;30;2019layout_74.pdf
SUSA;Elisabeth 4009823936288;40;2019layout_75.pdf
SUSA;Elisabeth 4009823936295;55;2019layout_76.pdf
SUSA;Elisabeth 4009823936301;40;2019layout_77.pdf
SUSA;Elisabeth 4009823936318;40;2019layout_78.pdf
SUSA;Elisabeth 4009823936325;55;2019layout_79.pdf
SUSA;Elisabeth 4009823936332;55;2019layout_80.pdf
SUSA;Elisabeth 4009823936349;30;2019layout_81.pdf
SUSA;Elisabeth 4009823936356;55;2019layout_82.pdf
SUSA;Elisabeth 4009823936363;55;2019layout_83.pdf
SUSA;Elisabeth 4009823936370;45;2019layout_84.pdf
SUSA;Elisabeth 4009823936387;25;2019layout_85.pdf
SUSA;Elisabeth 4009823936394;55;2019layout_86.pdf
SUSA;Elisabeth 4009823936400;55;2019layout_87.pdf
SUSA;Elisabeth 4009823936417;45;2019layout_88.pdf
SUSA;Elisabeth 4009823936424;25;2019layout_89.pdf
310 - Gebrüder Conzelmann;Emilia 4251530200286;215;2019layout_90.pdf
310 - Gebrüder Conzelmann;Emilia 4251530200231;215;2019layout_91.pdf
310 - Gebrüder Conzelmann;Emma 4057987030649;1070;2019layout_92.pdf
310 - Gebrüder Conzelmann;Emma 4057987030656;1070;2019layout_93.pdf
310 - Gebrüder Conzelmann;Frida 4057987027670;165;2019layout_94.pdf
310 - Gebrüder Conzelmann;Frida 4057987027687;215;2019layout_95.pdf
310 - Gebrüder Conzelmann;Frida 4057987027830;165;2019layout_96.pdf
310 - Gebrüder Conzelmann;Friedrich 4057987110846;215;2019layout_97.pdf
310 - Gebrüder Conzelmann;Friedrich 4057987110853;325;2019layout_98.pdf
310 - Gebrüder Conzelmann;Gustav 4057987026048;325;2019layout_99.pdf
310 - Gebrüder Conzelmann;Gustav 4057987023788;165;2019layout_100.pdf
310 - Gebrüder Conzelmann;Hilde 4057987026536;215;2019layout_101.pdf
310 - Gebrüder Conzelmann;Karl 4057987110556;215;2019layout_102.pdf
