Colorcode;Colorname;Finish;num;Aantal;omschrijving;pdf;code;beeld;vv;aantal;;
A08.2.1;Mid Beige;Rock;400533;722;UNI COLOURS;2018_meteon.pdf;A0821-400533;201942818_16.pdf;1;722;;
NW28;Halmstad;Matt;430896;4840;WOOD DECORS;2018_meteon.pdf;NW28-430896;201942818_17.pdf;3;1614;;
NW28;Halmstad;Matt;430896;;WOOD DECORS;2018_meteon.pdf;NW28-430896;201942818_17.pdf;3;1614;7222;
;;;;;;;;;;;;
NW28;Halmstad;Matt;430896;;WOOD DECORS;2018_meteon.pdf;NW28-430896;201942818_17.pdf;3;1614;;baan4
NW13 ;Country Wood;Satin;411144;968;WOOD DECORS;2018_meteon.pdf;NW13-411144;201942818_18.pdf;1;968;;
NW16;Milano Terra;Satin;430721;342;WOOD DECORS;2018_meteon.pdf;NW16-430721;201942818_19.pdf;1;342;;
NW13 ;Country Wood;Satin;430717;171;WOOD DECORS;2018_meteon.pdf;NW13-430717;201942818_20.pdf;1;171;;
NA17;Natural Graphite;Matt;431643;968;NATURALS;2018_meteon.pdf;NA17-431643;201942818_21.pdf;1;968;;
M53.0.2;Copper Yellow;Satin;431146;128;METALLICS;2018_meteon.pdf;M5302-431146;201942818_22.pdf;1;128;;
C08.25 ;Brooklyn Anthracite;Diffuse;431531;36;FOCUS;2018_meteon.pdf;C0825-431531;201942818_23.pdf;1;36;;
C01.21;Chester Grey;Diffuse;431966;36;FOCUS;2018_meteon.pdf;C0121-431966;201942818_24.pdf;1;36;;
CM03.24;Tribeca Zinc;Diffuse;431973;36;FOCUS;2018_meteon.pdf;CM0324-431973;201942818_25.pdf;1;36;;
CM03.16;Tribeca Iron;Diffuse;431972;36;FOCUS;2018_meteon.pdf;CM0316-431972;201942818_26.pdf;1;36;;
CM03.10;Tribeca Bronze;Diffuse;431971;36;FOCUS;2018_meteon.pdf;CM0310-431971;201942818_27.pdf;1;36;;
CM03.06;Tribeca Gold;Diffuse;431970;36;FOCUS;2018_meteon.pdf;CM0306-431970;201942818_28.pdf;1;36;;
L2581 ;New York Grey;Diffuse;431430;384;LUMEN;2018_meteon.pdf;L2581-431430;201942818_29.pdf;1;384;;
L9000;Metropolis Black;Diffuse;431234;512;LUMEN;2018_meteon.pdf;L9000-431234;201942818_30.pdf;1;512;;
LM5101;Paris Silver;Diffuse;431520;256;LUMEN;2018_meteon.pdf;LM5101-431520;201942818_31.pdf;1;256;;
L9000;Metropolis Black;Oblique;431210;36;LUMEN;2018_meteon.pdf;L9000-431210;201942818_32.pdf;1;36;;
L2581 ;New York Grey;Specular;431214;18;LUMEN;2018_meteon.pdf;L2581-431214;201942818_33.pdf;1;18;5613;
;;;;;;;;;;;;
PU17;Aged Ash;Matt | Flush | Brown core;431165;1560;WOOD DECORS;2018_meteon.pdf;PU17-431165;201942818_34.pdf;1;1560;;baan5
PU24;Mystic Cedar;Matt | Flush | Brown core;431469;4200;WOOD DECORS;2018_meteon.pdf;PU24-431469;201942818_35.pdf;3;1400;;
PU24;Mystic Cedar;Matt | Flush | Brown core;431469;;WOOD DECORS;2018_meteon.pdf;PU24-431469;201942818_35.pdf;3;1400;;
PU24;Mystic Cedar;Matt | Flush | Brown core;431469;;WOOD DECORS;2018_meteon.pdf;PU24-431469;201942818_35.pdf;3;1400;5760;
;;;;;;;;;;;;
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;4080;WOOD DECORS;2018_meteon.pdf;PU30-431879;201942818_36.pdf;3;1360;;baan6
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;;WOOD DECORS;2018_meteon.pdf;PU30-431879;201942818_36.pdf;3;1360;;
PU30;Tropical Ipe;Matt | Flush | Brown core;431879;;WOOD DECORS;2018_meteon.pdf;PU30-431879;201942818_36.pdf;3;1360;;
PU28;Siberian Larch;Matt | Flush | Brown core;431470;1920;WOOD DECORS;2018_meteon.pdf;PU28-431470;201942818_37.pdf;1;1920;6000;
;;;;;;;;;;38805;;
;;;;;;;;;;6467,5;;
